Product_ID,SKU_Name,Brand,Category,Pincode,Platform,MRP,Discount_Percentage,Selling_Price,Available,ETA_Minutes,Delivery_Fee,Handling_Fee,Timestamp
SKU0001,Milk Packet,Heritage,Dairy,500010,Blinkit,32,9.4,29,FALSE,10,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500010,Instamart,32,6.2,30,TRUE,12,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500010,Zepto,32,12.5,28,TRUE,8,30,0,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500032,Blinkit,32,12.5,28,TRUE,14,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500032,Instamart,32,6.2,30,FALSE,16,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500032,Zepto,32,6.2,30,TRUE,12,30,0,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500081,Blinkit,32,6.2,30,TRUE,22,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500081,Instamart,32,9.4,29,TRUE,25,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500081,Zepto,32,6.2,30,TRUE,20,30,0,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500034,Blinkit,32,9.4,29,FALSE,16,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500034,Instamart,32,9.4,29,TRUE,18,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500034,Zepto,32,9.4,29,TRUE,14,30,0,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500084,Blinkit,32,12.5,28,TRUE,12,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500084,Instamart,32,3.1,31,TRUE,14,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,500084,Zepto,32,12.5,28,TRUE,10,30,0,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,560001,Blinkit,33,12.1,29,TRUE,11,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,560001,Instamart,33,6.1,31,TRUE,13,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,560001,Zepto,33,9.1,30,TRUE,9,30,0,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,560034,Blinkit,33,12.1,29,TRUE,13,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,560034,Instamart,33,9.1,30,TRUE,15,30,12,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,560034,Zepto,33,12.1,29,TRUE,11,30,0,2026-05-28
SKU0001,Milk Packet,Heritage,Dairy,560037,Blinkit,33,6.1,31,TRUE,12,30,12,2026-05-28
